iter	Passed	Remaining
0	164	163950
1	165	82793
2	172	57184
3	179	44586
4	183	36456
5	189	31422
6	194	27577
7	196	24422
8	198	21905
9	200	19868
10	202	18223
11	204	16877
12	210	15970
13	214	15082
14	216	14205
15	218	13429
16	223	12934
17	226	12383
18	229	11826
19	231	11324
20	233	10877
21	238	10600
22	241	10243
23	243	9921
24	248	9684
25	253	9491
26	256	9261
27	265	9229
28	267	8973
29	270	8742
30	272	8521
31	274	8308
32	276	8109
33	281	7996
34	283	7819
35	285	7651
36	287	7489
37	290	7350
38	292	7216
39	294	7074
40	296	6944
41	299	6824
42	301	6715
43	303	6604
44	308	6543
45	311	6450
46	313	6355
47	315	6258
48	317	6160
49	319	6070
50	325	6048
51	327	5979
52	330	5901
53	332	5822
54	334	5749
55	339	5720
56	341	5645
57	343	5574
58	345	5512
59	347	5448
60	349	5386
61	354	5363
62	356	5300
63	358	5245
64	362	5210
65	366	5185
66	372	5187
67	376	5164
68	380	5133
69	384	5110
70	386	5059
71	388	5009
72	390	4958
73	392	4909
74	394	4863
75	400	4872
76	404	4849
77	410	4852
78	412	4808
79	416	4794
80	419	4756
81	421	4714
82	422	4663
83	424	4625
84	426	4590
85	433	4608
86	438	4596
87	443	4593
88	448	4588
89	450	4552
90	473	4734
91	475	4697
92	480	4688
93	482	4653
94	485	4624
95	488	4603
96	492	4585
97	522	4806
98	525	4780
99	531	4781
100	534	4759
101	538	4742
102	540	4708
103	551	4753
104	554	4723
105	556	4690
106	563	4704
107	565	4674
108	568	4649
109	570	4617
110	581	4658
111	584	4635
112	587	4607
113	593	4612
114	597	4596
115	599	4570
116	603	4552
117	611	4571
118	616	4560
119	618	4537
120	624	4539
121	627	4519
122	630	4499
123	633	4473
124	639	4473
125	647	4488
126	649	4467
127	656	4471
128	658	4444
129	660	4418
130	661	4390
131	663	4364
132	672	4380
133	673	4355
134	675	4330
135	680	4323
136	686	4323
137	688	4298
138	690	4274
139	692	4253
140	695	4236
141	696	4211
142	703	4214
143	707	4203
144	708	4179
145	711	4162
146	717	4160
147	718	4138
148	720	4116
149	722	4095
150	724	4075
151	726	4055
152	732	4053
153	734	4036
154	738	4027
155	741	4010
156	743	3990
157	745	3974
158	748	3959
159	751	3945
160	753	3925
161	758	3923
162	761	3908
163	763	3889
164	765	3872
165	769	3865
166	776	3871
167	781	3869
168	785	3861
169	790	3857
170	791	3838
171	793	3820
172	795	3802
173	797	3785
174	805	3796
